Diario,Seccion,Titulo,Resumen,Link
La Razon,cultura,"John Krasinski: ""Steve Carell me dijo lo orgulloso que estaba de mí y rompí a llorar""","John Krasinski vuelve a la dirección con ""Amigos imaginarios"", un emotivo cuento familiar protagonizado por Ryan Reynolds, Cailey Fleming y Steve Carell",https://www.larazon.es/https://www.larazon.es/cultura/john-krasinski-steve-carell-dijo-orgulloso-que-estaba-rompi-llorar_20240516664532278e8c660001854fe1.html
La Razon,internacional,Descubrimiento histórico: encuentran una cueva submarina tan profunda que no saben dónde está el fondo,Este Agujero Azul encontrado en el océano Atlántico sería más grande que cualquier otro encontrado anteriormente en el planeta Tierra,https://www.larazon.es/https://www.larazon.es/internacional/america/descubrimiento-historico-encuentran-cueva-submarina-tan-profunda-que-saben-donde-esta-fondo_20240515664409e3c33d0d0001d2997e.html
La Razon,deportes,Giezmann sonríe tres veces,Los tres goles del delantero francés dan al Atlético la victoria en el campo del Getafe. Los rojiblancos confirman su presencia en la próxima Liga de Campeones,https://www.larazon.es/https://www.larazon.es/deportes/giezmann-sonrie-tres-veces_202405166645334b69f85800013e9f2a.html
La Razon,gente,"Mariscada con amigos, primer plan del Rey Juan Carlos en su viaje a Galicia","Don Juan Carlos llegó ayer martes a Santiago de Compostela, procedente de Vitoria donde acudió a revisión médica.",https://www.larazon.es/https://www.larazon.es/gente/casa-real/mariscada-amigos-primer-plan-rey-juan-carlos-viaje-galicia_202405156644efd069f85800013e1209.html
La Razon,madrid,"Vinos de barra: Finca y voluntad, el tempranillo","Ignacio Figueroa es un acreditado bodeguero de la Ribera del Duero, y durante años ha explorado las posibilidades de tempranillo",https://www.larazon.es/https://www.larazon.es/madrid/vinos-barra-finca-voluntad-tempranillo_2024051666454d51c33d0d0001d53134.html
La Razon,deportes,"Getafe - Atlético de Madrid: resumen, resultado y goles",Con un hat-trick de Griezmann el Atlético aseguró su participación en la siguiente Champions League,https://www.larazon.es/https://www.larazon.es/deportes/futbol/getafeatletico-directo-siga-vivo-partido-laliga-sports_202405156643570dc33d0d0001d0c4ca.html
La Razon,deportes,El vacile al Barcelona de Tranfermarkt por el fichaje de Mbappé por el Real Madrid,El famoso portal de fichajes y valoraciones de futbolistas se ha burlado de las opciones del Barcelona de fichar a Mbappé,https://www.larazon.es/https://www.larazon.es/deportes/futbol/vacile-barcelona-tranfermarkt-fichaje-mbappe-real-madrid_202405156644e3cf69f85800013df9ce.html
La Razon,television,"Así ha sido El Rosco de ""Pasapalabra"" que ha resuelto Óscar Díaz y que vale 1.816.000 euros",Ha sido el apellido de un arquitecto alemán el que ha dado la victoria al madrileño,https://www.larazon.es/https://www.larazon.es/television/programas/asi-sido-rosco-pasapalabra-que-resuelto-oscar-diaz-que-vale-1816000-euros_2024051566452f6c8e8c660001854a40.html
La Razon,television,El sindicato USO tilda de “tercermundistas” las oposiciones por parte de RTVE: “Nos quieren ciegos y mudos”,"Con mucha vehemencia han cargado contra el ente público por la nefasta organización, según palabras del sindicato, acerca de los últimos plazos de dichas oposiciones",https://www.larazon.es/https://www.larazon.es/television/programas/sindicato-uso-tilda-tercermundistas-oposiciones-parte-rtve-nos-quieren-ciegos-mudos_2024051566449e858e8c6600018407b7.html
La Razon,lifestyle,Rocío Osorno nos enseña cómo vestirnos para El Rocío (o otra romería) con looks que puedes encontrar en Zara o en H&M,Una combinaciones para vestir para una romería sin ir vestida de flamenca.,https://www.larazon.es/https://www.larazon.es/lifestyle/moda/rocio-osorno-nos-ensena-como-vestirnos-rocio-otra-romeria-looks-que-puedes-encontrar-zara_20240515664478db69f85800013cf643.html
La Razon,lifestyle,No sabíamos que necesitábamos una falda midi de cuero roja hasta que hemos visto a Aitana conquistar 'El Hormiguero',Combinada con una camiseta 'coquette' y botas altas.,https://www.larazon.es/https://www.larazon.es/lifestyle/moda/sabiamos-que-necesitabamos-falda-midi-cuero-roja-que-hemos-visto-aitana-conquistar-hormiguero_2024051566445f02c33d0d0001d32bca.html
